ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
IN0060100,19,12,57,13.286448610136,12.46729151215,14.105605708122,8.74959127946355e-222,IN,in,1.7,Medium,0.993251773010283,0.417937294890813,5.69244032525292
IN0100000,16,10,42,2.54613801322062,1.16339620601605,3.92887982042518,0.000307280814694013,IN,in,1.16666666666667,Low,0.773189888233482,0.705480513879881,2.00520247591001
IN0100200,15,9,37,19.7377796915951,19.0056773089285,20.4698820742617,0,IN,in,1.25,Low,0.810930216216329,0.373521623809499,7.11650556385982
IN0100300,26,15,98,8.74594706026336,8.05292597677299,9.43896814375373,4.46741973901293e-135,IN,in,2.3,Medium,1.19392246847243,0.353582185454271,7.93522558701008
IN0120100,11,12,34,-3.48029721928844,-4.4545202461846,-2.50607419239228,2.52569194428965e-12,IN,in,1.2,Low,0.78845736036427,0.49705256474294,4.03126240581172
IN0180000,18,7,37,5.79395480514081,5.02138086270058,6.56652874758105,6.53099096976576e-49,IN,in,1.44444444444444,Medium,0.893817876022096,0.394170378796038,6.39507681323884
IN0180100,29,18,230,11.0781908487523,10.4543689119178,11.7020127855869,1.91836716777804e-265,IN,in,4,High,1.6094379124341,0.31827649838497,9.77517780929637
IN0190200,10,9,20,-12.6787285431469,-13.5510956112718,-11.8063614750221,1.74310141805401e-178,IN,in,1.16666666666667,Low,0.773189888233482,0.445085238839218,5.02257976492501
IN0200000,18,17,80,7.40581493146129,6.69325196598045,8.11837789694212,3.04376932680127e-92,IN,in,2,Medium,1.09861228866811,0.363552533408591,7.50917370138407
IN0200100,29,18,246,-0.77089216102958,-1.39348064308841,-0.148303678970751,0.0152292180220475,IN,in,6.72727272727273,High,2.04475598369195,0.317647184723892,9.81356830983444
IN0200200,25,15,72,0.692915593899987,0.113664694360836,1.27216649343914,0.0190472457779325,IN,in,1.6,Medium,0.955511445027436,0.295536173234261,11.3196915600228
